source,target
눈썹이 씰룩씰룩,Eyebrows
눈이 건조해,Snow drying
눈이 계속 뻑뻑해,I keep my eyes.
눈이 너무 나빠졌어,The snow was too bad.
눈이 너무 많이 와,So much snow
눈이 뻑뻑해,I'm sorry.
눈이 아파,Snow hurts
눈이 안 떠져,I'm not snowing.
눈이 자꾸 나빠지는 것 같아,I think my eyes are getting worse.
눈이 침침해,Snow blessed
눈이 피곤해,I'm tired of my eyes.
눕자마자 잘 거 같아,I think I'm sleeping.
뉴게임 없나,There is no new game.
뉴스 재미없어,News is not funny
뉴스는 역시 지루해,News is also bored too
느낌이 왔어,I feel like I feel.
느낌이 좋아,feel so good
늘 빡빡하게 살기 힘드네,It's hard to live tightly.
능력이 너무 안돼,There is not too much ability.
능력이 없는 거 같아,I think I do not have any ability.
능력치 제로,Ability
늦게 까지 술 먹나 보다,Later to late
늦어지고 있는데 변명이 생각 안나,"I'm late,"
늦은 시간에 걸어다니니까 무서워,I'm afraid I walked in late time.
늦잠과 브런치 수다가 있는 주말,Weekend with late sleep and brunch
니 상사는 누구니,Who is your boss?
다 그만 두고 싶다,I want to stop
다 그만하고싶어,I want to stop
다 끝나가니 좋을줄만 알았는데,I thought it would be good.
다 나 좋아했으면 좋겠어,I wish I like it.
다 내 잘못이지,Everything is wrong.
다 내 잘못인 것 같아,I think it's my fault.
다 때려 치우고 싶어,I want to hit it all.
다 마음에 안 들어,I do not like it.
다 알고 있을까,I know everything
다 잘 될거야,everything will be alright
다 잘해,Good
다 필요없어,I do not need everything.
다 허무하다,Die
다 힘들겠지,It's hard.
다가 오지마,Do not come
다들 행복한 거 같은데,I think everyone is happy.
다른 거 시작 해볼까,Let's start different
다른 거 해볼까,Let's do something else.
다른 건 무감각한데 이건 예민해,It's an unintentional.
다른 사람도 다 힘들겠지,I will be hard to do anyone else.
다른 사람들에게 사랑을 베풀고 싶어,I want to love for others.
다른 사람들은 잘하는것 같아서 초초해,"I think others are good,"
다른 사람들은 행복할까,I am happy to be happy
다른 사람들은 행복해 보이는데,Others are happy to be happy.
다른 사람들이 나 좋아했으면 좋겠어,I wish other people like me.
다른 사람은 다 행복해보여,Someone else looks happy
다른 사람의 시선이 너무 신경쓰여,The eyes of others are too careful.
다른 생각을 하는 사람이 많다,There are many people who think about other thinking.
다른 학과 간다,Other departments go
다리 꼬면 안되는데 습관 안고쳐져,I do not have a bridge.
다리 떠는거 말들음,I do not have a bridge
다리 떠는거 지적받았어,I pointed out that I left the bridge.
다리 떨면 안 좋아,I do not like my legs.
다리 떨면 진짜 복나가나,"If you shaken your legs,"
다리가 덜덜 떨려,The legs are shaking less
다리가 부은 거 같아,I think my legs are waving.
다리가 퉁퉁 부었어,The legs were swollen.
다리가 후덜덜,My legs
다리꼬지마,Do not cross your legs
다시 만나자는 건 아닌데 보고 싶어,I want to see you again.
다시 태어나도 챗봇할래,"Even if you are born again,"
다시 태어난다면,If I was born again
다육이 좀 심어볼까,Let's plan it a little
다육이 키워보까,I'll give you a ridiculous
다음에 또 만나자,Let's meet again next time.
다음에 봐,See you later
다이어트 성공하고 싶은데,I want to succeed in diet.
다이어트해야 되는데,I have to diet.
다크서클 내려왔어,I came down on the Dark Circle.
다크서클 턱밑에 있다,The Dark Circle Chuck
단거 땡긴다,It's sweet.
단독주택 살고 싶어,I want to live a single house
단둘이는 처음,The first time
단둘이는 처음 만나는 날ㅋㅋ,The first time I meet you
단발 어울릴까,Would it fit
단발 해볼까,Let's do it.
단수,singular
단수래,Monkey
단순하다,simple
단체생활 많이 힘든가,Group of groups
단체생활 적응이 안돼,I can not adapt to group life.
단체생활 해야 되는거 싫다,I do not want to have a group.
단체생활 힘들어,Group of group life
달달한 거 먹고 싶다,I want to eat a sweet
달달한 마카롱 먹고 싶다,I want to eat a sweet macaroon
달달한 연애 하고 싶어,I want to love a sweet
달력이 또 넘어가네,The calendar is over again.
달리 보이고 싶은데 뭐할까,"I want to see it, but what do you want to do?"
달콤한 와플 먹고 싶어,I want to eat sweet waffles
담배 끊는 거 어려워,It's hard to stop smoking.
담배 너무 비쌈,Tobacco too boss
담배 비싸,Tobacco expensive
담배 왤케 비싸,Tobacco
담배끊었었는데 담배 피고 싶다,"I broke the cigarette, but I want to get a cigarette."
담뱃값이 왜 이렇게 비싸,Why is the cigarettes so expensive
답 없는 내 인생,My life without an answer
답례품 뭐하지,I do not know what to do.
답례품 뭘로 할까,What do you want to do?
답이 안와,Answer
답이 어디있을까,Where is the answer
답정녀 안 만나는 방법 있나,There is a way to meet the answer.
답정녀 어떡해,What do you do?
답정녀 좀 싫어,I hate the answer.
답정녀 퇴치법,Reply
답하기 싫은가봐,I do not want to answer.
당구 쳤어,I hit the billiards.
당구 치고 옴,Billiards
당당하게 비키니 입고 싶다,I want to wear a bikini
당당하기가 어려워,It's hard to be done.
대기업 아니어도 될까,Maybe not a large company
대기업 취직 어려울까,Large business job difficulty
대기업에 취직하고 싶어,I want to work in large companies
대기업은 접어야 할 듯,Large companies should be folded
대놓고 말했으면 좋겠어,I wish I said.
대놓고 질린대,Tired of
대답 잘하니,Good answer
대답이 너무 빨라,The answer is too fast.
대리 불렀는데 안 오네,I called the agent.
대리님은 갈구는게 취미인 듯,The representative is a hobby
대리님이 너무 갈궈,I will go to the agent too.
대리운전 불렀어,I called the proxy driving.
대리효도 극혐,Agency
대리효도 짜증,Agent irritation
대만 놀러가고 싶어,I want to go to Taiwan
대만 여행가고 싶어,I want to travel to Taiwan
대빵 큰 여드름 올라와,Bread big acne up
대외활동하다 만났어,I met her externally.
대우 좀 해줬으면,"If you want to do it,"
대우가 별로야,Daewoo is not
대우를 안해줘,Do not treat you.
대청소 해야지,I have to clean up.
대체불가한 사람이 되고 싶어,I want to be an alternative.
대체불가한 사람이 될 수 있을까,Could it be a substitute for one?
대출 갚다 죽겠어,I'll pay for a loan.
대출 갚으면 한 평생 다 갈듯,"If you pay for a loan,"
대출 언제 다 갚냐,When you pay for your loan?
대출 이자 왜 이렇게 많이 나오지,Why do not you come to the loan and why?
대출받아도 괜찮을까,Would it be okay to get a loan
대출이 너무 많아,There are too many loans.
대충한 거 아닌데,It's not rough.
대충했다고 혼났어,I was alone.
대학 가고 싶다,I want to go to college.
대학 가는 게 낫지,It's better to go to college.
대학 가면 좋겠지,I would like to go to college.
대학 가면 행복할까,I will be happy to go to college
대학 가야 하나,University
대학 간다고 달라질까,Could you change college
대학 나온 거 부러워,I envy college
대학 다 떨어졌어,College has fallen.
대학 떨어 졌어 휴,I fell asleep.
대학가야지,University
대학에서 아싸해도 될까,Can I get a college from college?
대학원 가고 싶어,I want to go to graduate school
대학원 가는게 좋을 것 같아,I think I'd better go to graduate school.
더 격렬하게 아무 것도 안하고 싶다,I want to do not do anything more violently.
더 나은 학교생활 하고 싶어,I want to live a better school
더 이상 나한테 안 왔으면 좋겠어,I wish I could not come to me anymore.
더 이상 못할거 같아,I do not think I can not do anymore.
더 이상 안 왔으면 좋겠어,I wish you no longer.
더우니까 무서운 이야기 듣고싶지,I want to hear a scary story.
더워,hot
더워 미치겠다,I'm crazy.
더워 죽겠다,I will die too hot.
더워더워,It's hot.
더워서 잠을 못자,I can not sleep because it is hot.
더워서 죽을 것 같아,I think it's hot.
더워서 죽을 듯한 날씨야,It's hot and dead.
덕수궁 돌담길 걸었어,I walked the stone wall.
덕수궁 돌담길 따라서 둘이 걸었어,I have two.
덕질 중,During the
덕질 하는 중,Delivering
덜 싸우는 법,How to fight less
데려다 주느라 막차 놓침,I'll take you
데려다 주지도 않고,I do not even take it.
데이트로 놀이공원 가는거 어때,How about going to amusement park with dating
도대체 중간이 없어,I do not have a middle.
도로가 얼었어,The road is frozen.
도서관 가서 공부해야지,I have to go to the library and study.
도서관 가야지,I have a library.
도서관 앞자리 사람 괜찮다,People in front of the library are okay.
도서관 책 반납 안햇다,I can not return a library book.
도서관에 책 빌리러 가려고,To go to a book to a library
도서관에서 괜찮은 사람 봤어,I saw a good person in the library.
도시락 싸가지고 가야지,I have to go to lunch box.
도시락 싸가지고 다닐까,I'll be wrapped in lunch box
도시락 싸는 거 귀찮은데 사먹을까,I'm annoying to be a lunch box.
도시락 싸볼까,I'll buy a lunch box
도시락 싸봐야지,I should have a lunch box.
도시락 싸서 놀러 가고 싶어,I want to go to lunch box
도시락 싸서 피크닉 가고 싶어,I want to go to a picnic
도시락 싸옴,Lunch box
도시락 싸왔어,Lunch box
도와준 사람들 너무 고맙다,Thank you very much.
도전하기 싫다,I do not want to challenge.
독감 같아,It's like a flu.
독박 육아 짜증나,Rocks
독서 좀 해야겠어,I have to read it.
독학하려니까 힘들어,I'm trying to be self-solicited.
돈 가지고 유세부려,Money
돈 굴리기,Money rolling
돈 다 썼어,I wrote everything.
돈 다 어디 갔나,Where did you go?
돈 다 어디 쓴지 모르겠네,I do not know where to write.
돈 다 없어졌어,I did not have done.
돈 많으면 좋겠지,I wish you a lot of money.
돈 많은 백수 하고 싶어,I want to be a lot of money
돈 많이 벌고 싶어,I want to make a lot of money
돈 많이 벌었으면 좋겠어,I wish I had a lot of money.
돈 모으고 싶어,I want to collect money
돈 모으는 재미,Fun money
돈 모으는 재미가 있네,I have fun money.
돈 버는 게 쉽지 않음,Not easy to make money
돈 버는 게 어렵구만,It's hard for money.
돈 벌고 싶어,I want to make money
돈 벌고 싶어,I want to make money
돈 벌면 뭐하나,"If you make money,"
돈 벌어서 뭐하지,I do not know what to do.
돈 빌려줬는데 연락 두절,"I borrowed money,"
돈 빌려줬는데 잠수탔어,"I borrowed money, but I got dive."
돈 안드는 데이트 코스,Don Dudway Dating Course
돈 어디갔지,Where did you go?
돈 없는데 투잡이라도 해야 할까,Do I have to be tough
돈 없어,no money
돈 없어도 갈 수 있는 데이트 코스,Dating course you can do without money
돈 없으면 결혼도 못하겠다,"If you do not have money, you can not get married."
돈 잃어버렸어,I lost my money.
돈 좀 모아야 할텐데,I have to gather money.
돈 좀 빌려줘,Borrow money.
돈 쥐꼬리만큼 가지고 유세부리는 꼴이라니,It is as much as the money rat tail.
돈없이 결혼하기 가능,Can be married without money
돈은 어떻게 모으는 거임,How do I collect money
돈이 똑 떨어짐,Money is driven
돈이 안 모여,I do not have money.
돈이 엄떠,Money
돈이 없네,I do not have money.
돈이 없어 졌어,I have no money.
돈이 천원밖에 없어,Money is only a thousand won.
돈이 하나도 없어,There's no money.
돈이라도 많으면 좋을텐데,I would like to have a lot of money.
돌겠다,I'll turn it.
돌아버리겠다 진짜,I will be back.
돌잔치 가야지,I have a birthday party.
동기가 나보다 먼저 진급,Motivation is better than me
동기는 진급하는데,The motivation is promoting
동료가 너무 게을러,Colleagues are too crazy.
동문서답을 해,Correct the alumni
동상 걸릴 뻔했어,I almost got a statue.
동상 걸릴거 같아,I think I'll take a statue.
동생이 나 제끼고 결혼하겠대,My brother will be able to marry and married.
동생이 먼저 결혼하겠대,My brother will be married first.
동생이랑 대판 싸움,Fight with my brother
동생이랑 싸웠어,I fought with my brother.
동생한테 약점 잡혔어,I was picked up with my brother.
동생한테 짜증냈어,I spoke to my brother.
동생한테 화냈어,I was mad at my brother.
동성 친구들이 편해,Dongseong friends are easy
동성이 좋아,Good homosexuality
동호회 가야지,I'll go to the club.
동호회 나가기 귀찮아,The club is annoying
동호회 나가야 하나,I have to go to the club
동호회 나가지 말까,Do not go to the club
동호회 약속 있어,I have a promise of a club.
동호회 재미 없어졌어,The club has not funny.
되게 건조하네,It's dry.
되고 싶은 게 두 개야,Two things I want to be
되고 싶은 게 없어,I do not want to be.
되는 일이 하나도 없네,There's nothing to do.
두 사람만 좋으면 되는줄 알았는데 아니었나봐,I thought it was not good for both people.
두고 봐,Look at it.
둔한 편인데 이것만 예민해,"It's dull, but it's sensitive."
둘이 사귀는 거 같애,I think they're dating.
뒤돌아 보지 말고 나가야 하는데,Do not look back.
뒤에 누가 따라 오는 것 같아 무서워,I think I'm going to follow with who followed.
뒤에서 발자국 소리 나서 놀램,"After the footprint from behind, surprise"
뒤에서 얘기하면 내가 못 들을 줄 알았나봐,I thought I could not hear it when I talked from behind.
뒤에서 호박씨까면 내가 못 들을 줄 알았나,I thought I could not hear the pumpkin from behind.
뒤척이다 늦잠 자게 되네,I'll be late.
뒷통수 맞았어,I was right.
뒷통수 제대로 맞음,The back passage
드디어 개강이다,"Finally,"
드디어 데이트인데 뭐하지,I finally got a date.
드디어 봄이 오나봐,I finally look at the spring.
드디어 손 잡음,"Finally, hand noise"
드디어 승진함,Finally promotion
드디어 졸업한다,I finally graduate
드디어 천일,"Finally,"
드디어 커플 반지 받았어,I finally got a couple ring.
드디어 해외 여행 간다,Finally goes overseas
드라마 볼 게 없어,I do not have a drama.
드라마나 보면서 놀고 싶다,I want to play while watching a drama
드라이 잘 안되네,I can not dry it.
드라이가 잘 안돼,Dry is not good.
드라이브 데이트 해야겠다,I need to drive drive.
드라이브 하면서 데이트 해야겠다,I need to date while driving.
드라이플라워 만들었어,I made a dried drive.
드레스룸 만들고 싶다,I want to make a dress room
드레스룸 있으면 좋겠다,I wish I had a dress room.
드론 자격증 딸까,Drone certification
드론 조종사 자격증 따면 재밌을 거 같아,I think it will be fun if you are a drone pilot qualification.
듬직한 사람이 좋아,I like a dummer
등록금 너무 비싸다 허리 휨,The tuition is too expensive and waist warp
등록금 비싸다,Tuition
등산할까,I will climb
따듯해서 좋다,Good to warm
따듯해지니까 살 것 같다,I think it's getting warm.
따뜻한 물이 안나와,Warm water is not
딱 좋아,Perfect
딴 거 뭐 할 줄 알아,I do not know what to do.
딴 일 찾아볼까,I'll find another job.
딸기 먹고 싶다,I want to eat strawberry
딸기 먹어야지,I have to eat strawberries.
딸기 먹을래,Strawberry eating
딸기 뷔페 가고 싶어,I want to go strawberry buffet
딸기가 너무 먹고 싶어,Strawberry wants to eat too
딸기가 좋아,I like strawberries
땅 사면 좋겠다,I wish you a lot.
땅이나 살까,I live in the ground
때려 치고 싶다,I want to beat
떠나요 제주도,I leave. Jeju Island
떡볶이 먹고 싶다,I want to eat tteokbokki.
떨리나봐,Look around.
떨어뜨려서 핸드폰 액정 나갔어,I dropped my cell phone liquid crystal.
또 개강이라니,I also have a dog.
또 개강이야,It's also open.
또 공부해야돼,I have to study again.
또 눈 내려,Snow again
또 못 만났어,I can not meet again.
또 뭘 먹나,What do you eat again?
또 살찐 거 같아,I think I'm fat.
또 스팸 전화,Another spam phone
또 야근,"Also,"
또 어떻게 버티지,See how Verti
또 전화 안받아,I will not call again.
또 지각하네,I'm perceived.
또 폭식했다,"Also,"
또 한달이 지나갔네,It's been a month later.
또라이가 너무 많아,There are too many
또라이들 짱 많아,I have a lot of
똑 부러지게 말해야지,I have to be broken.
똑같은 나날들,The same day
똑똑,smart
똑똑하면 좋겠다,I would like to be smart.
똑똑해지고 싶다,I want to get smart.
똥마려,Shit
뜨끈한 온천가고 싶다,I want to go to a hot spring
뜻밖의 고민을 하고 있어,I'm doing a unexpected worries.
띰띰해요 놀아 주세요,Please play.
라면 맛있게 끓이는 법 알려줘,If you have a delicious way to boil
라면 먹고 갈래,I will eat
라면 먹고 싶어,I want to eat it.
라면 먹어야겠다,I have to eat it.
라면 먹을래,"If it is, I will eat"
라면 잘 끓이는 법,If you are a good boiling
랜선 집사됐어,Lanzh daesa.
레고 사고 싶은데 비싸,I want to buy a LEGO
레고가 비싸,Lego is expensive
레시피대로 한 거 같은데 왜 맛이 없지,I think it's a recipe.
레시피대로 했는데 왜 맛이 없지,"I did it as a recipe, but I do not have a taste."
렌터카 빌릴까봐,Look at the car rental.
로그인 아이디 기억안나,Login ID I remember
로그인 아이디 까먹었다,I forgot the login ID.
로또 당첨 번호 불러봐,Lotto Lotto Launch Number
로또 당첨 번호를 불러 주세요,Lotto Lottery
로또 당첨 좀 됐으면,If you win the lottery
로또 번호 알려줘,Tell me the lottery number.
로또 번호 알려줘,Tell me the lottery number.
로또 좀 됐으면,If you have a lot of lotto
롯데월드 가자고 해볼까,Let's go to Lotte World
롱패딩 살까,Long Padding
롱패딩 필요할까,I need a long plastic
리모델링할까,I'll remodel
리치치즈피자 먹고 싶다,I want to eat rich squeeze
리폼 해볼까,Let's see
마딩 있는 주택에 살고 싶어,I want to live in a housing in a mingded
마라톤 나가볼까,Marathon I will see
마라톤 출전할까,I will play marathon
마른 기침 나와,Dry cough me
마른 기침이 계속 나오네,Dry cough keeps coming out.
마스크팩 대량 구매했어,I bought a mask pack bulk.
마스크팩 잔뜩 샀어,I bought a mask pack.
마음 다 잡는 중,Middle of mind
마음 둘 곳이 없어,I do not have two ...
마음 잡고 고고씽,Holding heart and go to
마음 잡고 다시 시작,Hold and restart
마음도 춥고 날씨도 춥네,The heart is cold and the weather is cold.
마음만은 청춘이야,My heart is a youth.
마음만은 항상 청춘인데,My heart is always youth
마음에 드는 거 같은데 고백을 왜 안 하지,Why do not you confess in your favorite
마음에 안 드는 짓만 해,I do not like it.
마음에 하나도 안 들어,I have not been in my heart.
마음을 보여 주고 싶어,I want to show my heart
마음을 정리하고 있는데 뜻밖의 남자가 카톡을 했네,"I'm organizing my heart, but an unexpected man did it."
마음을 정리하는 중인데 카톡 왔어,"I'm arranging my heart,"
마음의 여유가 없어,I can not afford to mind.
마음의 평화가 필요해,I need peace of mind.
마음이 무거워져,The heart is heavy.
마음이 보였으면 좋겠어,I wish I could see my heart.
마음이 복잡해,The heart is complicated
마음이 싱숭생숭해서 자꾸 글을 쓰게 되네,I'll write my heart because my heart is sorry.
마음이 싱숭생숭해서 자꾸 여기다 쓰게되넹,I have a good heart and keep it here.
마음이 울적해,I feel sick.
마음이 울적해,I feel sick.
마음이 유난히 춥네,The heart is exceptionally cold.
마음이 자꾸 급해져,The heart is still changing
마음이 조급해,I have a sense of mind.
마음이 착잡하다,I feel accomplished
마음이 허해,Heart
마카롱 먹고 싶다,I want to eat macaroons
막 말하는 거 고치고 싶어,I want to fix it
막 뭐 사고 싶어,I just want to buy something
막말 좀 안 했으면 좋겠다,I wish I could not say
막말 쩔어,I have a memorable
막말 최악이지,It's the worst.
막말 할거 같은데,I think I'll say it.
막말이 나와,I have a membrane
막말이 제일 나빠,The darker
막말해서 상처줬어,I was hurt by saying.
막차 놓쳤다,I missed the last car.
막차 놓쳤다 택시비 아까워,I missed the cold car.
막차 놓쳤어,I missed the last car.
만나기만 하면 싸워,Fight if you meet
만나기만 하면 싸워,Fight if you meet
만나기만 하면 자꾸 싸우게돼,"If you meet, you will fight."
만나는게 싫지는 않아,I do not want to meet you.
만나면 싸워,Fight when you meet
만나면 좋긴 한데 귀찮아,It's good to meet you.
만나면 좋은 사람이 있어 헤헤,I have a good person to meet
만나면 좋은데 사귀긴 싫어,I do not want to meet you when I meet.
만나서 고백할걸,I will meet you and confess
만나자고 약속 잡는 것도 귀찮아,It is also annoying to meet promises to meet.
만날 땐 좋고 안 만나도 괜찮은 거 같아,I think it's okay when I meet and I meet.
만담꾼이네,It's a Momando.
만두 먹고 싶어,I want to eat dumplings
만든 사람,Made person
만족을 모르나봐,I do not know satisfaction.
만족할 줄을 몰라,I do not know what to do.
만족해야겠지,I have to be satisfied.
많이 먹었는데 몸무게 똑 같아,"I ate a lot, but I have a weight."
많이 먹었더니 졸려,I ate a lot and sleepy
많이 자도 피곤해,I tired a lot.
말 거는게 어려워,It's hard to say.
말 예쁘게 하고 싶어,I want to make it pretty.
말 잘하고 싶어,I want to speak well.
말 잘하는 법,How to speak well
말 좀 잘하면 좋을텐데,It would be nice to say good.
말문이 막힌다,Words block
말문이 탁 막힌다,Words are blocked.
말실수했다,I made a mistake.
말을 못하겠어,I can not speak.
말을 수시로 바꾸는 사람 어떻게 해,Anyone who changes the horse from time to time
말을 예쁘게 하면 좋으련만,It's good to make a horse pretty.
말을 왜 이렇게 못 알아 듣니,Why do not you hear me so
말을 이해를 못해,I can not understand words.
말을 좀 잘 하고 싶어,I want to speak well.
말을 해놓고 후회돼 죽겠어,I'll be regretted.
말이 너무 심해,Too bad
말이 안 통해,Through the horse
말이 안 통해,Through the horse
말이 안돼,It does not make sense
말이 제일 무서운 듯,The horse is the fearfulness
말조심해야지,Be careful.
말투가 맘에 안들어,I do not like it.
말투가 별로야,It's not all.
말하고 나니 후련하네여,"I said,"
말하고 후회하면 어떡해,What if I regret
말하고 후회할까봐 걱정돼,I'm worried about telling me and regret.
말하는 대로 다 되면 정말 좋겠다,I would really like to say that it is said to say.
말하는게 재밌어,It's fun to say.
말하는대로 다 됐으면 좋겠다,I wish I could have been to talk.
말하는대로 이루어졌으면,If it was made up
말하지 말걸,Do not talk.
말해봐,Say
맘 편한 데가 없어,I do not have any comfort.
맘속으로 조금씩 정리가 돼가네,I'm going to be a little bit in my heart.
맛있는 거 먹고 싶은데 살 찔까봐 걱정돼,"I want to eat delicious things, but I'm worried about it."
맛있는 냄새나,Delicious smell
맛집 가고 싶어,I want to go to restaurant.
맛집 다녀왔어,I went to the restaurant.
맛집갈까,I will go to the restaurant
망고빙수 맛있다,Delicious mango
맞는 결정을 한거겠지,I made a right decision.
맞는 선택일까,Is it a fit choice?
맞춤법 많이 틀리는 사람,Spell
맞춤법 자꾸 틀리는 사람,Spell
맞춤법을 자꾸 틀리는 남친 깬다,I wake up the spelling
매운 국물 떡볶이 먹고 싶다,I want to eat spicy broth tteokbokki
매운 닭발 먹고 싶다,I want to eat hot chicken
매운 칼국수 고고,Spicy knife
매일 아침 피곤해,I'm tired every morning.
매일 타는 버스에서 보는 그 사람,The person who looks at the bus daily
매콤한 닭발 생각나,I remember a spicy chicken
맥주 마셔야지,I have to drink beer.
맥주 마실까 소주 마실까,Do not drink beer
맥주 소주 어떤거 마실까,Which of the beer shochu
맥주 한 잔 어때,How about a beer
맥주 한 잔 할래,A glass of beer
맥주 한 잔 해야지,I have to be a beer.
맨날 놀기만 했으면 좋겠어,I wish I had to play every day.
맨날 똑같아,I always do the same.
맨날 똑같애,Every day
맨날맨날 똑같아,Every day always the same.
맨몸으로 결혼하기 가능,Can be married to the body
머리 기름낀거 티나나,Head Oiled Giant Tina
머리 깎고 올게,I'll cut my hair
머리 깎아야겠다,I have to cut my hair.
머리 깎아야지,I have to cut my hair.
머리 냄새날텐데,I will smell my hair.
머리 다듬어 달라고 그럴까,I would like to go to the head.
머리 또 잘라야 돼,I have to cut my hair again.
머리 바꿀까,Change the head
머리 스타일 바꿀까,Change the hair style
머리 아파,Head hurts
머리 아픈 거 같애,I think it's sick.
머리 안 감은 거 티나나,Hair
머리 안감았더니 떡졌어,I did not have a hair lined.
머리 어떻게 깎을까,How can I cut my hair?
머리 어떻게 할까,How do you do it?
머리 염색 해야지,I have to dye hair.
머리 용량 초과,Exceeding the head capacity
머리 좀 다듬을까,Would it be broken
머리 짧게 잘라야지,I should cut my hair short.
머리 하나도 안 남을 것 같아,I do not think I have a head.
머리 한 대 맞은 거 같아,I think you're right.
머리 확 잘라버려야지,I have to cut my hair.
머리가 너무 빨리 자라,My head grows too fast.
머리가 너무 아프네,My head is too sick.
머리가 띵한게 한 대 맞은거 같아,I think my head is right.
머리가 띵해,Head
머리가 좀 아프다,I have a little hair.
머리가 지끈거려,I do not have a head.
머리가 콕콕 쑤셔,Head Cockcock
머리만 바빠,Heavy head
머리스타일 바꿔볼까,Let's change the hair style
머리스타일 어떻게 바꾸지,How to change your hair style
머리에서 열날거 같다,I think it's open in my head.
머리카락 많이 빠져,Lots of hair
머리카락 쑥쑥 빠지는 느낌,Feeling hair
머리카락이 엄청 빠져,The hair is very fucked.
머리카락이 자꾸 빠져,The hair keeps
머릿결 좀 찰랑거렸으면 좋겠어,I wish I could have a few questions.
머릿속이 복잡해,The head is complicated.
머릿속이 정리 안돼,I can not organize my head.
머릿속이 하얘졌어,My head was hit.
먹고 나니까 졸리당,"Because I eat,"
먹고 살기 힘들다,Tend to live
먹고 자고,Eat and sleep
먹고 자고 놀고만 싶어,I want to eat and play sleep.
먹고 자고 먹고 자고,Eat and sleep and sleep
먹고 자도 놀기만 해도 될까,Can I eat and play?
먹고 자도 되나,I can eat and sleep.
먹고 죽을 돈도 없어,I have no money to eat and die.
먹기도 귀찮아,I am sick of eating
먹으면 살 찔까봐 걱정돼,I'm worried about eating when I eat it.
먹을 거 뭐 없나,I do not have anything to eat.
먹을 거 하나도 없어,I do not have anything to eat.
먹을 게 일도 없어,I do not have to eat.
먹을까 참을까,I want to eat
먹통이야 답답하다,It's a frustrating.
먼저 잘게 잘자,Let's sleep first
먼지 때문에 목아파,"Because of dust,"
먼지 싫다,I do not like dust.
먼지 지수 어때,How about the dust index
먼지 콜록콜록,Dust Collockolock
먼지가 너무 많아,There are too many dust.
먼지가 많나,There is a lot of dust.
먼지가 쌓였네,Dust stacked.
멋지게 나이들고 싶다,I want to be nicely.
멋지게 늙고 싶다,I want to be nicely.
멋지게 살고 싶었는데,I wanted to live nicely.
멋진 데 알아 냈어,I know it's cool.
멋진 삶을 살고 싶어,I want to live a wonderful life
멍 때리기,Slope
멍 때리는 중,Slope
멍청한게 탈이지,I'm a stupid
메뉴얼이 있으면 뭐하나,"If you have a manual,"
메뉴얼이 있으면 뭐해,What do you do if you have a manual?
메모리카드 어디다 두었을까,Where did you leave the memory card
메모리카드 잃어버렸어,I lost my memory card.
메모하는 습관 필요해,I need a habit to note.
메모하는 습관을 기르고 싶어,I want to get a note of a note
메이크업 동영상 보는 중,Makeup video
며칠 전에 다시 만났는데,I met again a few days ago.
면도 귀찬하,Share
면도기 또 사야돼,I have to buy a razor again.
면도기 사야되는데,I have to buy a razor.
면도기 새로 사야돼,I have to buy a razor.
면도기랑 이것저것 사야되는데,I have to buy a razor and something.
면도안하면 안되나,I can not do it.
면도하기 귀찮,Shaver
면도하는 게 낫겠지,It would be better to shave.
면도해야 되는데 귀찮아,I have to shave it.
면세에서 뭐 사지,What are you doing in our taxation
면세점에서 쇼핑할거야,I'll be shopping at the duty free shop.
면접 때 너무 떨려,I'm so trapped in the interview
면접 어떻게 잘 보냐,How are you doing?
면접 잘 보고 싶어,I want to see the interview well
면접 잘 볼 수 있을까,Could I see the interview well?
면접 준비 방법,How to prepare for interview
면접 준비 어떻게 하지,How to prepare for interview
면접 준비중이야,I'm preparing for an interview.
면접 팁 좀 줘,Give me your interview tips.
면접만 남았어,I have only interviews.
면접만 보면 돼,I only see interviews.
면접만 보면 떨려서 말을 못하겠어,I can not speak and I can not speak when I look at the interview.
면접이 코앞이야,Interview is in front of me.
면허 따는 중,Between licenses
면허 따야하나,I do not have a license.
면허 딸까봐,Look at the license.
면허 없는데,I do not have a license.
면허 없는데 따야겠지,I do not have a license.
명절 다가오니까 스트레스,I'm approaching the holiday
명절 선물 뭐하지,What are you doing?
명절 스트레스,Hertical stress
명품 선물 부담스러울까,Will be a luxury gift burden
명품 이제 사지 말아야겠어,I have to do it now.
몇 반 될지 궁금해,I wonder if it will be a few
몇시간 동안 안와,During a few hours
모공 너무 커,The pores are too big
모공 점점 커지는 것 같아,I think it's getting bigger and bigger.
모기가 너무 많아,There are too many mosquitoes.
모기가 웽웽거려,Mosquito Wenke
모든 일이 어려워,Everything is difficult
모르겠는데 노력하래,I do not know.
모르는 걸까 모르는 철 하는 걸까,I do not know what I do not know.
모르는 게 너무 많아,I do not know too much.
모르는 번호로 전화왔어,I called with the number you do not know.
모르는 번호에서 전화오면,If you call the number
모르는 사람 만나는거 너무 스트레스야,I am so stressed to meet people who do not know.
모르는 사람들이 페친 신청해,People who do not know
모르는 사람이 자꾸 쳐다봐,Do not know what you do not know.
모른 척 하는 건지 모르는 건지,I do not know if you pretend to be nothing.
모른 척 하는건가,I do not know
모른척 지나쳤어,I did not know.
모른척 해줬어,I pretended you did not know.
모임에서 만났어,I met at a meeting.
목 마르다,thirsty
목 말라,Nude
목 아파,Neck
목 탄다,Neck
